"No.","Time","Source","Destination","Protocol","Length","Info"
"88","0.000947","11.0.0.210","10.42.0.2","TCP","60","22698  >  80 [SYN] Seq=0 Win=512 Len=0"
"89","0.000956","11.0.0.210","10.42.0.2","TCP","60","22700  >  80 [SYN] Seq=0 Win=512 Len=0"
"90","0.000964","11.0.0.210","10.42.0.2","TCP","60","22701  >  80 [SYN] Seq=0 Win=512 Len=0"
"91","0.000973","11.0.0.210","10.42.0.2","TCP","60","22702  >  80 [SYN] Seq=0 Win=512 Len=0"
"92","0.000981","11.0.0.210","10.42.0.2","TCP","60","22703  >  80 [SYN] Seq=0 Win=512 Len=0"
"93","0.000990","11.0.0.210","10.42.0.2","TCP","60","22704  >  80 [SYN] Seq=0 Win=512 Len=0"
"94","0.000999","11.0.0.210","10.42.0.2","TCP","60","22705  >  80 [SYN] Seq=0 Win=512 Len=0"
"95","0.001007","11.0.0.210","10.42.0.2","TCP","60","22707  >  80 [SYN] Seq=0 Win=512 Len=0"
"96","0.001016","11.0.0.210","10.42.0.2","TCP","60","22708  >  80 [SYN] Seq=0 Win=512 Len=0"
"97","0.001046","11.0.0.210","10.42.0.2","TCP","60","22709  >  80 [SYN] Seq=0 Win=512 Len=0"
"98","0.001055","11.0.0.210","10.42.0.2","TCP","60","22710  >  80 [SYN] Seq=0 Win=512 Len=0"
"99","0.001064","11.0.0.210","10.42.0.2","TCP","60","22711  >  80 [SYN] Seq=0 Win=512 Len=0"
"100","0.001073","11.0.0.210","10.42.0.2","TCP","60","22780  >  80 [SYN] Seq=0 Win=512 Len=0"
"101","0.001092","11.0.0.210","10.42.0.2","TCP","60","22712  >  80 [SYN] Seq=0 Win=512 Len=0"
"102","0.001102","11.0.0.210","10.42.0.2","TCP","60","22713  >  80 [SYN] Seq=0 Win=512 Len=0"
"103","0.001110","11.0.0.210","10.42.0.2","TCP","60","22715  >  80 [SYN] Seq=0 Win=512 Len=0"
"104","0.001119","11.0.0.210","10.42.0.2","TCP","60","22717  >  80 [SYN] Seq=0 Win=512 Len=0"
"105","0.001127","11.0.0.210","10.42.0.2","TCP","60","22719  >  80 [SYN] Seq=0 Win=512 Len=0"
"106","0.001136","11.0.0.210","10.42.0.2","TCP","60","22720  >  80 [SYN] Seq=0 Win=512 Len=0"
"107","0.001145","11.0.0.210","10.42.0.2","TCP","60","22721  >  80 [SYN] Seq=0 Win=512 Len=0"
"108","0.001153","11.0.0.210","10.42.0.2","TCP","60","22723  >  80 [SYN] Seq=0 Win=512 Len=0"
"109","0.001162","11.0.0.210","10.42.0.2","TCP","60","22766  >  80 [SYN] Seq=0 Win=512 Len=0"
"110","0.001169","11.0.0.210","10.42.0.2","TCP","60","22724  >  80 [SYN] Seq=0 Win=512 Len=0"
"111","0.001178","11.0.0.210","10.42.0.2","TCP","60","22725  >  80 [SYN] Seq=0 Win=512 Len=0"
